title,category,price,rating,availability,url
The Wedding Dress,Romance,24.12,1,In stock,http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
Suddenly in Love (Lake Haven #1),Romance,55.99,2,In stock,http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,Romance,16.24,4,In stock,http://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Doing It Over (Most Likely To #1),Romance,35.61,3,In stock,http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
The Wedding Pact (The O'Malleys #2),Romance,32.61,3,In stock,http://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
Hold Your Breath (Search and Rescue #1),Romance,28.82,1,In stock,http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
Dirty (Dive Bar #1),Romance,40.83,4,In stock,http://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
Take Me Home Tonight (Rock Star Romance #3),Romance,53.98,3,In stock,http://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html
Off the Hook (Fishing for Trouble #1),Romance,47.67,3,In stock,http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html
A Gentleman's Position (Society of Gentlemen #3),Romance,14.75,5,In stock,http://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
"Sit, Stay, Love",Romance,20.9,3,In stock,http://books.toscrape.com/catalogue/sit-stay-love_486/index.html
A Girl's Guide to Moving On (New Beginnings #2),Romance,31.3,1,In stock,http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
The Perfect Play (Play by Play #1),Romance,59.99,3,In stock,http://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html
Dark Lover (Black Dagger Brotherhood #1),Romance,12.87,1,In stock,http://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html
Changing the Game (Play by Play #2),Romance,13.38,3,In stock,http://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html
A Walk to Remember,Romance,56.43,1,In stock,http://books.toscrape.com/catalogue/a-walk-to-remember_312/index.html
The Purest Hook (Second Circle Tattoos #3),Romance,12.25,1,In stock,http://books.toscrape.com/catalogue/the-purest-hook-second-circle-tattoos-3_271/index.html
The Obsession,Romance,45.43,1,In stock,http://books.toscrape.com/catalogue/the-obsession_268/index.html
Reservations for Two,Romance,11.1,3,In stock,http://books.toscrape.com/catalogue/reservations-for-two_211/index.html
Best of My Love (Fool's Gold #20),Romance,27.41,2,In stock,http://books.toscrape.com/catalogue/best-of-my-love-fools-gold-20_127/index.html
Where Lightning Strikes (Bleeding Stars #3),Romance,39.77,3,In stock,http://books.toscrape.com/catalogue/where-lightning-strikes-bleeding-stars-3_96/index.html
This One Moment (Pushing Limits #1),Romance,48.71,1,In stock,http://books.toscrape.com/catalogue/this-one-moment-pushing-limits-1_88/index.html
"Rhythm, Chord & Malykhin",Romance,28.34,2,In stock,http://books.toscrape.com/catalogue/rhythm-chord-malykhin_47/index.html
My Perfect Mistake (Over the Top #1),Romance,38.92,2,In stock,http://books.toscrape.com/catalogue/my-perfect-mistake-over-the-top-1_35/index.html
Listen to Me (Fusion #1),Romance,58.99,3,In stock,http://books.toscrape.com/catalogue/listen-to-me-fusion-1_29/index.html
Imperfect Harmony,Romance,34.74,4,In stock,http://books.toscrape.com/catalogue/imperfect-harmony_26/index.html
Fighting Fate (Fighting #6),Romance,39.24,3,In stock,http://books.toscrape.com/catalogue/fighting-fate-fighting-6_18/index.html
Deep Under (Walker Security #1),Romance,47.09,5,In stock,http://books.toscrape.com/catalogue/deep-under-walker-security-1_15/index.html
Charity's Cross (Charles Towne Belles #4),Romance,41.24,1,In stock,http://books.toscrape.com/catalogue/charitys-cross-charles-towne-belles-4_12/index.html
Bounty (Colorado Mountain #7),Romance,37.26,4,In stock,http://books.toscrape.com/catalogue/bounty-colorado-mountain-7_9/index.html
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,4,In stock,http://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Will You Won't You Want Me?,Womens Fiction,13.86,3,In stock,http://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
Keep Me Posted,Womens Fiction,20.46,4,In stock,http://books.toscrape.com/catalogue/keep-me-posted_594/index.html
Grey (Fifty Shades #4),Womens Fiction,48.49,4,In stock,http://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
Meternity,Womens Fiction,43.58,3,In stock,http://books.toscrape.com/catalogue/meternity_478/index.html
Some Women,Womens Fiction,13.73,5,In stock,http://books.toscrape.com/catalogue/some-women_341/index.html
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,48.39,5,In stock,http://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html
Can You Keep a Secret?,Womens Fiction,21.94,1,In stock,http://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html
Twenties Girl,Womens Fiction,42.8,2,In stock,http://books.toscrape.com/catalogue/twenties-girl_292/index.html
The Undomestic Goddess,Womens Fiction,45.75,4,In stock,http://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html
The Nanny Diaries (Nanny #1),Womens Fiction,52.53,5,In stock,http://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,44.29,1,In stock,http://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html
Something Borrowed (Darcy & Rachel #1),Womens Fiction,48.96,5,In stock,http://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html
Something Blue (Darcy & Rachel #2),Womens Fiction,54.62,1,In stock,http://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html
I've Got Your Number,Womens Fiction,19.69,1,In stock,http://books.toscrape.com/catalogue/ive-got-your-number_173/index.html
The Edge of Reason (Bridget Jones #2),Womens Fiction,19.18,4,In stock,http://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,29.82,1,In stock,http://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html
Soumission,Fiction,50.1,1,In stock,http://books.toscrape.com/catalogue/soumission_998/index.html
Private Paris (Private #10),Fiction,47.61,5,In stock,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
"We Love You, Charlie Freeman",Fiction,50.27,5,In stock,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Thirst,Fiction,17.27,5,In stock,http://books.toscrape.com/catalogue/thirst_946/index.html
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3,In stock,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
Tuesday Nights in 1980,Fiction,21.04,2,In stock,http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
The Vacationers,Fiction,42.15,4,In stock,http://books.toscrape.com/catalogue/the-vacationers_863/index.html
The Regional Office Is Under Attack!,Fiction,51.36,5,In stock,http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5,In stock,http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
The Time Keeper,Fiction,27.88,5,In stock,http://books.toscrape.com/catalogue/the-time-keeper_766/index.html
The Testament of Mary,Fiction,52.67,4,In stock,http://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
The First Hostage (J.B. Collins #2),Fiction,25.85,3,In stock,http://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
Take Me with You,Fiction,45.21,3,In stock,http://books.toscrape.com/catalogue/take-me-with-you_741/index.html
Still Life with Bread Crumbs,Fiction,26.41,3,In stock,http://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
Shtum,Fiction,55.84,4,In stock,http://books.toscrape.com/catalogue/shtum_733/index.html
My Name Is Lucy Barton,Fiction,41.56,1,In stock,http://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
My Mrs. Brown,Fiction,24.48,3,In stock,http://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,28.9,1,In stock,http://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
I Am Pilgrim (Pilgrim #1),Fiction,10.6,4,In stock,http://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
Eligible (The Austen Project #4),Fiction,27.09,3,In stock,http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
Eight Hundred Grapes,Fiction,14.39,4,In stock,http://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
Dear Mr. Knightley,Fiction,11.21,5,In stock,http://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
Cometh the Hour (The Clifton Chronicles #6),Fiction,25.01,3,In stock,http://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
Balloon Animals,Fiction,17.03,3,In stock,http://books.toscrape.com/catalogue/balloon-animals_665/index.html
A Man Called Ove,Fiction,39.72,1,In stock,http://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
The Silent Sister (Riley MacPherson #1),Fiction,46.29,5,In stock,http://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
The Dinner Party,Fiction,56.54,2,In stock,http://books.toscrape.com/catalogue/the-dinner-party_635/index.html
The Improbability of Love,Fiction,59.45,1,In stock,http://books.toscrape.com/catalogue/the-improbability-of-love_607/index.html
Mothering Sunday,Fiction,13.34,2,In stock,http://books.toscrape.com/catalogue/mothering-sunday_600/index.html
Lies and Other Acts of Love,Fiction,45.14,1,In stock,http://books.toscrape.com/catalogue/lies-and-other-acts-of-love_596/index.html
Daredevils,Fiction,16.34,3,In stock,http://books.toscrape.com/catalogue/daredevils_590/index.html
11/22/63,Fiction,48.48,3,In stock,http://books.toscrape.com/catalogue/112263_583/index.html
The Shack,Fiction,28.03,1,In stock,http://books.toscrape.com/catalogue/the-shack_576/index.html
The High Mountains of Portugal,Fiction,51.15,1,In stock,http://books.toscrape.com/catalogue/the-high-mountains-of-portugal_547/index.html
Miller's Valley,Fiction,58.54,2,In stock,http://books.toscrape.com/catalogue/millers-valley_534/index.html
Hystopia: A Novel,Fiction,21.96,4,In stock,http://books.toscrape.com/catalogue/hystopia-a-novel_523/index.html
The Bourne Identity (Jason Bourne #1),Fiction,42.78,4,In stock,http://books.toscrape.com/catalogue/the-bourne-identity-jason-bourne-1_492/index.html
Sister Dear,Fiction,40.2,4,In stock,http://books.toscrape.com/catalogue/sister-dear_485/index.html
Memoirs of a Geisha,Fiction,49.67,3,In stock,http://books.toscrape.com/catalogue/memoirs-of-a-geisha_477/index.html
Me Before You (Me Before You #1),Fiction,19.02,1,In stock,http://books.toscrape.com/catalogue/me-before-you-me-before-you-1_434/index.html
Deception Point,Fiction,40.32,4,In stock,http://books.toscrape.com/catalogue/deception-point_426/index.html
The Little Paris Bookshop,Fiction,24.73,3,In stock,http://books.toscrape.com/catalogue/the-little-paris-bookshop_407/index.html
The Firm,Fiction,45.56,3,In stock,http://books.toscrape.com/catalogue/the-firm_404/index.html
The Expatriates,Fiction,44.58,2,In stock,http://books.toscrape.com/catalogue/the-expatriates_401/index.html
Siddhartha,Fiction,34.22,5,In stock,http://books.toscrape.com/catalogue/siddhartha_393/index.html
Last One Home (New Beginnings #1),Fiction,59.98,3,In stock,http://books.toscrape.com/catalogue/last-one-home-new-beginnings-1_383/index.html
Digital Fortress,Fiction,58.0,5,In stock,http://books.toscrape.com/catalogue/digital-fortress_369/index.html
Atlas Shrugged,Fiction,26.58,5,In stock,http://books.toscrape.com/catalogue/atlas-shrugged_314/index.html
Three-Martini Lunch,Fiction,23.21,3,In stock,http://books.toscrape.com/catalogue/three-martini-lunch_290/index.html
The Nightingale,Fiction,26.26,4,In stock,http://books.toscrape.com/catalogue/the-nightingale_267/index.html
The Infinities,Fiction,27.41,1,In stock,http://books.toscrape.com/catalogue/the-infinities_257/index.html
The Husband's Secret,Fiction,52.51,5,In stock,http://books.toscrape.com/catalogue/the-husbands-secret_256/index.html
The Da Vinci Code (Robert Langdon #2),Fiction,22.96,2,In stock,http://books.toscrape.com/catalogue/the-da-vinci-code-robert-langdon-2_240/index.html
The Art of Fielding,Fiction,22.1,1,In stock,http://books.toscrape.com/catalogue/the-art-of-fielding_228/index.html
Lila (Gilead #3),Fiction,12.47,3,In stock,http://books.toscrape.com/catalogue/lila-gilead-3_190/index.html
Jurassic Park (Jurassic Park #1),Fiction,44.97,1,In stock,http://books.toscrape.com/catalogue/jurassic-park-jurassic-park-1_180/index.html
Inferno (Robert Langdon #4),Fiction,41.0,5,In stock,http://books.toscrape.com/catalogue/inferno-robert-langdon-4_176/index.html
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,49.13,5,In stock,http://books.toscrape.com/catalogue/crazy-rich-asians-crazy-rich-asians-1_143/index.html
Big Little Lies,Fiction,22.11,1,In stock,http://books.toscrape.com/catalogue/big-little-lies_129/index.html
The Course of Love,Fiction,16.78,3,In stock,http://books.toscrape.com/catalogue/the-course-of-love_109/index.html
When I'm Gone,Fiction,51.96,3,In stock,http://books.toscrape.com/catalogue/when-im-gone_95/index.html
The Silent Wife,Fiction,12.34,5,In stock,http://books.toscrape.com/catalogue/the-silent-wife_83/index.html
The Bette Davis Club,Fiction,30.66,3,In stock,http://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html
Kitchens of the Great Midwest,Fiction,57.2,5,In stock,http://books.toscrape.com/catalogue/kitchens-of-the-great-midwest_28/index.html
Bright Lines,Fiction,39.07,5,In stock,http://books.toscrape.com/catalogue/bright-lines_11/index.html
Birdsong: A Story in Pictures,Childrens,54.64,3,In stock,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
The Bear and the Piano,Childrens,36.89,1,In stock,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
The Secret of Dreadwillow Carse,Childrens,56.13,1,In stock,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08,4,In stock,http://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
Little Red,Childrens,13.47,3,In stock,http://books.toscrape.com/catalogue/little-red_817/index.html
Walt Disney's Alice in Wonderland,Childrens,12.96,5,In stock,http://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
Twenty Yawns,Childrens,22.08,2,In stock,http://books.toscrape.com/catalogue/twenty-yawns_773/index.html
Rain Fish,Childrens,23.57,3,In stock,http://books.toscrape.com/catalogue/rain-fish_728/index.html
Once Was a Time,Childrens,18.28,2,In stock,http://books.toscrape.com/catalogue/once-was-a-time_724/index.html
Luis Paints the World,Childrens,53.95,3,In stock,http://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
Nap-a-Roo,Childrens,25.08,1,In stock,http://books.toscrape.com/catalogue/nap-a-roo_567/index.html
The Whale,Childrens,35.96,4,In stock,http://books.toscrape.com/catalogue/the-whale_501/index.html
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,52.87,3,In stock,http://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html
Raymie Nightingale,Childrens,34.41,2,In stock,http://books.toscrape.com/catalogue/raymie-nightingale_482/index.html
Playing from the Heart,Childrens,32.38,1,In stock,http://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,22.54,1,In stock,http://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html
The Wild Robot,Childrens,56.07,3,In stock,http://books.toscrape.com/catalogue/the-wild-robot_288/index.html
The Thing About Jellyfish,Childrens,48.77,1,In stock,http://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html
The Lonely Ones,Childrens,43.59,5,In stock,http://books.toscrape.com/catalogue/the-lonely-ones_261/index.html
The Day the Crayons Came Home (Crayons),Childrens,26.33,5,In stock,http://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html
The Cat in the Hat (Beginner Books B-1),Childrens,16.26,2,In stock,http://books.toscrape.com/catalogue/the-cat-in-the-hat-beginner-books-b-1_235/index.html
Red: The True Story of Red Riding Hood,Childrens,28.54,3,In stock,http://books.toscrape.com/catalogue/red-the-true-story-of-red-riding-hood_210/index.html
Horrible Bear!,Childrens,37.52,2,In stock,http://books.toscrape.com/catalogue/horrible-bear_168/index.html
Green Eggs and Ham (Beginner Books B-16),Childrens,10.79,4,In stock,http://books.toscrape.com/catalogue/green-eggs-and-ham-beginner-books-b-16_165/index.html
Counting Thyme,Childrens,10.62,1,In stock,http://books.toscrape.com/catalogue/counting-thyme_142/index.html
Are We There Yet?,Childrens,10.66,3,In stock,http://books.toscrape.com/catalogue/are-we-there-yet_122/index.html
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,52.88,4,In stock,http://books.toscrape.com/catalogue/diary-of-a-minecraft-zombie-book-1-a-scare-of-a-dare-an-unofficial-minecraft-book_99/index.html
Matilda,Childrens,28.34,1,In stock,http://books.toscrape.com/catalogue/matilda_32/index.html
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,22.85,3,In stock,http://books.toscrape.com/catalogue/charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,2,In stock,http://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
You Are What You Love: The Spiritual Power of Habit,Religion,21.87,4,In stock,http://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
God: The Most Unpleasant Character in All Fiction,Religion,30.03,5,In stock,http://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html
The Book of Mormon,Religion,24.57,3,In stock,http://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,27.62,1,In stock,http://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html
The Bhagavad Gita,Religion,57.49,3,In stock,http://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,28.42,4,In stock,http://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,5,In stock,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3,In stock,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
Reasons to Stay Alive,Nonfiction,26.41,2,In stock,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5,In stock,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4,In stock,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3,In stock,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3,In stock,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1,In stock,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1,In stock,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4,In stock,http://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2,In stock,http://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
In the Country We Love: My Family Divided,Nonfiction,22.0,4,In stock,http://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,2,In stock,http://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,5,In stock,http://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,1,In stock,http://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,2,In stock,http://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,2,In stock,http://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Genius of Birds,Nonfiction,17.24,1,In stock,http://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,5,In stock,http://books.toscrape.com/catalogue/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html
So You've Been Publicly Shamed,Nonfiction,12.23,2,In stock,http://books.toscrape.com/catalogue/so-youve-been-publicly-shamed_832/index.html
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,3,In stock,http://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html
Big Magic: Creative Living Beyond Fear,Nonfiction,30.8,3,In stock,http://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,2,In stock,http://books.toscrape.com/catalogue/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html
Agnostic: A Spirited Manifesto,Nonfiction,12.51,5,In stock,http://books.toscrape.com/catalogue/agnostic-a-spirited-manifesto_786/index.html
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2,4,In stock,http://books.toscrape.com/catalogue/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6,2,In stock,http://books.toscrape.com/catalogue/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html
The Year of Magical Thinking,Nonfiction,43.04,2,In stock,http://books.toscrape.com/catalogue/the-year-of-magical-thinking_770/index.html
The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,3,In stock,http://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,15.77,1,In stock,http://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html
Swell: A Year of Waves,Nonfiction,45.58,1,In stock,http://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,2,In stock,http://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,5,In stock,http://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
Let It Out: A Journey Through Journaling,Nonfiction,26.79,5,In stock,http://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html
Hamilton: The Revolution,Nonfiction,58.79,3,In stock,http://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,4,In stock,http://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,5,In stock,http://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.8,4,In stock,http://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html
Brain on Fire: My Month of Madness,Nonfiction,49.32,5,In stock,http://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html
Abstract City,Nonfiction,56.37,5,In stock,http://books.toscrape.com/catalogue/abstract-city_658/index.html
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,1,In stock,http://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26,2,In stock,http://books.toscrape.com/catalogue/the-lonely-city-adventures-in-the-art-of-being-alone_639/index.html
The Diary of a Young Girl,Nonfiction,59.9,3,In stock,http://books.toscrape.com/catalogue/the-diary-of-a-young-girl_634/index.html
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,21.21,3,In stock,http://books.toscrape.com/catalogue/snatched-how-a-drug-queen-went-undercover-for-the-dea-and-was-kidnapped-by-colombian-guerillas_631/index.html
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,4,In stock,http://books.toscrape.com/catalogue/furiously-happy-a-funny-book-about-horrible-things_619/index.html
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,11.68,4,In stock,http://books.toscrape.com/catalogue/the-sleep-revolution-transforming-your-life-one-night-at-a-time_608/index.html
"Mother, Can You Not?",Nonfiction,16.89,5,In stock,http://books.toscrape.com/catalogue/mother-can-you-not_599/index.html
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,19.53,3,In stock,http://books.toscrape.com/catalogue/a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585/index.html
